,number_sta,lat,lon,height_sta,date,dd,ff,precip,hu,td,t,psl
10893253,56165003,47.95,-2.4,65.0,20160702 07:12,270.0,3.0,0.0,74.0,283.65,288.25,
8735382,85113001,46.694,-2.33,32.0,20180527 06:06,170.0,4.9,0.0,93.0,288.65,289.75,101340.0
15202127,76171001,49.538,1.44,197.0,20180911 23:48,,,0.0,,,286.95,
14901567,5120002,44.77,6.98,1670.0,20160508 07:00,140.0,2.9,0.0,74.0,274.95,279.25,
20816123,84094001,44.29,5.13,392.0,20160628 15:18,290.0,2.4,0.0,31.0,283.75,302.65,
20287327,15060002,44.8,3.01,1080.0,20160624 02:24,230.0,2.3,0.0,62.0,279.95,287.15,
12008541,26002003,45.25,4.82,153.0,20160413 13:30,170.0,3.4,0.0,63.0,282.75,289.85,
7431049,13047001,43.52,4.92,24.0,20160305 04:54,270.0,3.2,0.2,90.0,279.15,280.65,99760.0
19976901,36006004,46.57,1.5,178.0,20161130 04:24,,,0.0,,,,
37864939,26220010,44.359,5.115,316.0,20181118 12:00,,,0.0,50.0,275.65,285.75,
10935501,37129002,47.112,0.273,67.0,20180703 02:36,,,0.0,,,,
42374568,20272001,41.62,8.962,272.0,20181224 13:36,,,0.0,,,288.25,
9178062,36089003,46.662,1.798,185.0,20180603 16:00,,,0.0,74.0,287.85,292.65,
11986435,76116001,49.38,1.18,152.0,20170720 02:18,200.0,3.5,0.0,82.0,288.15,291.25,100880.0
30171780,26298001,45.23,5.071,400.0,20180915 11:12,,,0.0,,,,
24107677,26165001,44.79,4.83,98.0,20170730 02:36,,,0.0,,,,
6362319,48020003,44.199,3.632,1042.0,20170224 21:06,340.0,10.2,0.0,66.0,267.55,273.15,
28896122,4006005,44.242,6.625,1400.0,20180904 16:06,,,0.0,,,291.55,
1438892,45055001,47.99,1.78,125.0,20180125 07:00,220.0,5.4,0.0,94.0,280.15,281.05,101510.0
42928056,12005001,44.756,2.868,1107.0,20181228 23:24,60.0,6.7,0.0,99.0,271.35,271.45,
3041918,66137003,42.47,2.86,295.0,20180127 06:36,360.0,8.8,0.0,69.0,274.75,280.05,
10958877,7294001,44.3,4.26,149.0,20160404 13:00,,,0.0,,,286.95,
9367148,74136005,45.973,6.472,1430.0,20170323 03:54,120.0,1.3,0.0,84.0,272.65,275.05,
15513949,20096008,42.288,9.193,350.0,20170515 18:48,280.0,2.0,0.0,49.0,281.75,292.75,
20540068,30189001,43.857,4.406,62.0,20180625 23:24,350.0,3.3,0.0,49.0,284.05,295.25,101760.0
18947666,20268001,41.94,9.12,837.0,20160612 15:18,270.0,5.9,0.0,54.0,281.75,291.25,
19337418,56007001,47.66,-2.97,26.0,20161119 15:30,,,0.0,,,284.25,
10793125,37249001,47.52,0.47,117.0,20160630 15:06,,,0.0,,,,
6416475,72181001,47.94,0.19,52.0,20170417 17:24,360.0,5.0,0.0,49.0,276.75,287.35,102240.0
18965369,12145001,44.118,3.019,713.0,20180612 12:24,230.0,5.1,0.0,60.0,284.35,292.35,100690.0
10770565,7154005,44.73,4.08,1240.0,20160402 22:00,170.0,10.7,0.6,93.0,278.65,279.75,
5149861,38229001,45.23,5.78,469.0,20180214 09:06,,,0.0,,,,
20341715,42032001,45.53,4.54,493.0,20170627 04:30,,,0.0,84.0,287.95,290.65,
21196353,79079013,46.924,-0.755,144.0,20181218 18:12,,,0.0,,,281.35,
16890435,50615001,49.52,-1.51,61.0,20171009 21:18,,,0.0,,,286.75,
16982238,29120001,48.28,-4.44,83.0,20161011 17:48,100.0,2.8,0.0,65.0,278.15,284.45,101680.0
32742603,83069002,43.0,6.23,137.0,20171013 23:36,250.0,1.7,0.0,94.0,289.75,290.75,
34683124,12254001,44.41,2.48,579.0,20171030 21:18,20.0,1.2,0.0,83.0,272.65,275.25,102550.0
33453249,34178001,43.48,3.15,140.0,20161015 19:54,40.0,2.1,0.0,91.0,284.65,286.05,
6471881,36136001,46.93,1.17,148.0,20170418 15:42,,,0.0,,,,
32839105,83004004,43.451,6.471,55.0,20171014 20:06,,,0.0,,,288.35,
6362732,11181002,43.39,2.02,408.0,20180224 18:48,,,0.0,,,277.05,
28312752,30009001,43.98,3.44,611.0,20170904 21:36,,,0.0,,,291.55,
4502945,15122002,44.73,2.17,480.0,20170208 18:42,340.0,3.6,0.0,90.0,274.75,276.25,
30610872,20040004,42.1,9.1,1019.0,20170925 01:42,40.0,0.6,0.0,76.0,280.65,284.85,
6922822,73052002,45.488,6.209,822.0,20180301 14:18,,,0.0,,,280.55,
2909122,63417001,45.84,3.05,550.0,20160126 06:48,,,0.0,,,279.85,
23718411,38548001,45.08,5.56,1024.0,20160723 11:42,350.0,5.4,0.0,75.0,286.95,291.45,
